variant_label,perturbation_id,horizon_s,recovery_rate,false_positive_delta,density_drift,recovery_per_density_drift,recovery_per_false_positive,sample_consistency_ratio
R1_replace_tminus1,A10_drop_front_triplet,6,0.49073936810397845,0.0017476332034933872,0.27757339774630374,1.7679625356335622,280.80226853268033,1.0
R2_replace_tminus2,A10_drop_front_triplet,0,0.36754163163175935,0.0007815462895040606,0.21092582406805804,1.7425160397295265,470.2749364532038,1.0
R2_replace_tminus2,A10_drop_front_triplet,2,0.44132627212958864,0.002300122708292121,0.23452984074266503,1.8817489097851239,191.87075130321227,1.0
R2_replace_tminus2,A10_drop_front_triplet,4,0.48553784380275844,0.002910554206458263,0.27694553165907365,1.7531889425840845,166.81972207402728,1.0
R2_replace_tminus2,A10_drop_front_triplet,6,0.48722355469214884,0.00284352647111627,0.28607615108669204,1.7031253840677598,171.34482820583054,1.0
R3_ema_K2,A10_drop_front_triplet,0,0.39833474348539566,0.0002736073335635747,0.21231838229830502,1.8761199062158438,1455.8628173350464,1.0
R3_ema_K2,A10_drop_front_triplet,2,0.46428874920986773,0.0014891623782201935,0.22848132205311744,2.0320643501088007,311.77845747404194,1.0
R3_ema_K2,A10_drop_front_triplet,4,0.4891330352055494,0.0016207367633833958,0.25978386493335015,1.8828460933516438,301.79671755236285,1.0
R3_ema_K2,A10_drop_front_triplet,6,0.489304018251128,0.001608166038978523,0.2719559802737288,1.7992030098350267,304.2621261682188,1.0
R4_ema_K3,A10_drop_front_triplet,0,0.3973761823780344,6.143672625577579e-05,0.20839216501654834,1.906867191223235,6468.055943014644,1.0
R4_ema_K3,A10_drop_front_triplet,2,0.4614220832760154,0.0012733839404614478,0.22288540575972404,2.0702211600764913,362.3589623007227,1.0
R4_ema_K3,A10_drop_front_triplet,4,0.4934580550304426,0.0015254801906008503,0.25956068555322354,1.901127876814988,323.4771962761976,1.0
R4_ema_K3,A10_drop_front_triplet,6,0.4911622314234534,0.0015174160822207655,0.2713823752001865,1.8098530940380533,323.68329107506804,1.0
R8_camera_group_repair_front_triplet,A10_drop_front_triplet,0,0.4017028917222448,0.0006548709127372904,0.21765542345196986,1.8455910050451318,613.4077478615895,1.0
R8_camera_group_repair_front_triplet,A10_drop_front_triplet,2,0.4672289020872361,0.0015847839764761978,0.23295092444458465,2.0056967071550837,294.8218236823229,1.0
R8_camera_group_repair_front_triplet,A10_drop_front_triplet,4,0.49105375706994175,0.001618042318989349,0.26158897677727033,1.8771959090923351,303.4863497122007,1.0
R8_camera_group_repair_front_triplet,A10_drop_front_triplet,6,0.49073936810397845,0.0017476332034933872,0.27757339774630374,1.7679625356335622,280.80226853268033,1.0
R5_blend_alpha03,C4_motion_blur_9,0,0.0,-0.0055625759099211525,-0.07510149104900199,0.0,0.0,1.0
R5_blend_alpha03,C4_motion_blur_9,2,0.004680621902509952,-0.006191187670220144,-0.08139423607766427,0.057505569534970796,0.7560135715193915,1.0
R5_blend_alpha03,C4_motion_blur_9,4,0.027652453048973735,-0.00640979113984598,-0.07435746821181843,0.37188534943392054,4.3140958021353235,1.0
R5_blend_alpha03,C4_motion_blur_9,6,0.0665177777032821,-0.006307485996390569,-0.058020577947350604,1.146451484224133,10.545846275575817,1.0
R6_blend_alpha05,C4_motion_blur_9,0,0.0,-0.004538139680745901,-0.06955707722957083,0.0,0.0,1.0
R6_blend_alpha05,C4_motion_blur_9,2,0.012873383097423474,-0.004679229537640647,-0.06778778441920319,0.1899071227614374,2.75117580658684,1.0
R6_blend_alpha05,C4_motion_blur_9,4,0.027065018590636925,-0.004916199781444211,-0.05792149824097503,0.4672706924471524,5.505272322901034,1.0
R6_blend_alpha05,C4_motion_blur_9,6,0.04753250724671848,-0.004726062011719087,-0.042353092535458936,1.1222912991990661,10.057529319093447,1.0
R7_blend_alpha07,C4_motion_blur_9,0,0.0,-0.0028327673166704537,-0.04333474216469724,0.0,0.0,1.0
R7_blend_alpha07,C4_motion_blur_9,2,0.016033789783209296,-0.0029213546709891125,-0.04179768789888927,0.38360470612622993,5.488477637595635,1.0
R7_blend_alpha07,C4_motion_blur_9,4,0.032576177328367595,-0.0026152290778422016,-0.025591543754393653,1.2729274029346038,12.456337995157908,1.0
R7_blend_alpha07,C4_motion_blur_9,6,0.03787899214018492,-0.002671265131388864,-0.019674174034691738,1.9253154960097627,14.18016942424977,1.0
