occupied_iou,semantic_miou,false_free_rate,false_occupied_rate,pred_gt_occupied_ratio,small_object_false_free,new_visible_recall,front_sector_false_free,dynamic_false_free,static_false_free,active_voxel_count,wrong_class_activation,A10_front_h6_recovery_ratio,reliability_front_sector,reliability_small_object,reliability_new_visible,risk_error_correlation,clean_occupied_iou_delta,clean_semantic_miou_delta,clean_false_positive_delta,active_voxel_count_delta,pred_gt_density_delta,wrong_class_activation_delta,C4_false_positive_delta,front_sector_false_free_rate,small_object_false_free_rate,dynamic_object_false_free_rate,future_h4_h6_false_free_rate,A10_front_h6_recovery_rate,false_positive_rate,density_drift,wrong_class_rate,clean_A0_metric_drift,repaired_camera_count,memory_age_frame,feature_distance_current_memory,repair_triggered_ratio,feature_norm_drift,model_name,sample_index,perturbation_id,horizon_s,variant_label,repaired_camera_set,repair_mode,source_time_offsets,blend_alpha,uses_future_info,uses_current_clean_same_frame,uses_gt_repair
0.22125549508059453,0.07684597769808087,0.4855030575922602,0.07175222480815507,1.8398490979342237,0.3595505617977528,0.4364870480675994,0.33354056574448243,0.42341220423412207,0.48865781474964004,60474,0.12470717089050473,0.0,0.6664594342555176,0.6404494382022472,0.4364870480675994,0.33354056574448243,0.061496034909611724,0.024727588164579845,0.007018254709444907,0.18968366383380547,0.29334631415619583,0.01995801515105418,0.007018254709444907,0.33354056574448243,0.3595505617977528,0.42341220423412207,0.4855030575922602,0.0,0.07175222480815507,0.29334631415619583,0.12470717089050473,0.061496034909611724,1,1,0.04657182740894231,1.0,17195.072303771973,epoch_56_original,0,A1_drop_cam_front,4,R1_replace_tminus1,['CAM_FRONT'],replace,[1],,False,False,False
0.2133627153120966,0.06934006105585705,0.5217734393266308,0.07011575082867821,1.7196048632218845,0.3409090909090909,0.41690219338402135,0.340080971659919,0.5066371681415929,0.5225483841096398,58838,0.12260346036941781,0.0,0.659919028340081,0.6590909090909092,0.41690219338402135,0.340080971659919,0.07973500075972786,0.026548051070578546,0.008091993185689955,0.24746639528473902,0.3411269581482348,0.03878302548515314,0.008091993185689955,0.340080971659919,0.3409090909090909,0.5066371681415929,0.5217734393266308,0.0,0.07011575082867821,0.3411269581482348,0.12260346036941781,0.07973500075972786,1,1,0.04657182740894231,1.0,17195.072303771973,epoch_56_original,0,A1_drop_cam_front,6,R1_replace_tminus1,['CAM_FRONT'],replace,[1],,False,False,False
0.24516935159980366,0.0852935856867201,0.45813196567708847,0.060385542247733286,1.7520465529144886,0.43103448275862066,0.0,0.4706896551724138,0.6023573200992556,0.45003819179223664,53292,0.09504553374757536,0.0,0.5293103448275862,0.5689655172413793,0.0,0.4706896551724138,0.019848387702856768,0.001989992587220518,-0.003948600928831682,-0.02941337170124028,-0.05309530854456379,-0.020876483545385807,-0.003948600928831682,0.4706896551724138,0.43103448275862066,0.6023573200992556,0.0,0.0,0.060385542247733286,-0.05309530854456379,0.09504553374757536,0.019848387702856768,1,2,0.04646311531012709,1.0,17217.683937072754,epoch_56_original,0,A1_drop_cam_front,0,R2_replace_tminus2,['CAM_FRONT'],replace,[2],,False,False,False
0.25852093715987856,0.0968754761246534,0.4336449770973207,0.062411408162124295,1.7571061052895778,0.4069767441860465,0.45231168831168833,0.32929743508045245,0.6413301662707839,0.4219821730342291,56006,0.11357219050009412,0.0,0.6707025649195475,0.5930232558139534,0.45231168831168833,0.32929743508045245,0.07471306532053065,0.03487144682890507,-0.0017808809358586877,0.07556989495112443,0.1234548534855997,0.005176632992407601,-0.0017808809358586877,0.32929743508045245,0.4069767441860465,0.6413301662707839,0.0,0.0,0.062411408162124295,0.1234548534855997,0.11357219050009412,0.07471306532053065,1,2,0.04646311531012709,1.0,17217.683937072754,epoch_56_original,0,A1_drop_cam_front,2,R2_replace_tminus2,['CAM_FRONT'],replace,[2],,False,False,False
0.23622421927045803,0.08144184179567858,0.4713864127293194,0.0670102498472323,1.766375612279047,0.38202247191011235,0.4248049129611673,0.36182778986633507,0.6014943960149439,0.46466165413533833,58059,0.12431166144391372,0.0,0.6381722101336649,0.6179775280898876,0.4248049129611673,0.36182778986633507,0.07646475909947523,0.029323452262177557,0.002276279748522139,0.1421742209631728,0.2198728285010192,0.019562505704463162,0.002276279748522139,0.36182778986633507,0.38202247191011235,0.6014943960149439,0.4713864127293194,0.0,0.0670102498472323,0.2198728285010192,0.12431166144391372,0.07646475909947523,1,2,0.04646311531012709,1.0,17217.683937072754,epoch_56_original,0,A1_drop_cam_front,4,R2_replace_tminus2,['CAM_FRONT'],replace,[2],,False,False,False
0.2083714395535939,0.06550764207543314,0.5405365910685059,0.06806221359428444,1.6644844517184942,0.375,0.3657895784403487,0.46091560261600745,0.6858407079646017,0.5323641077877581,56952,0.11170212765957446,0.0,0.5390843973839925,0.625,0.3657895784403487,0.46091560261600745,0.07474372500122517,0.022715632090154633,0.006038455951296179,0.20747996438112198,0.2860065466448445,0.027881692775309788,0.006038455951296179,0.46091560261600745,0.375,0.6858407079646017,0.5405365910685059,0.0,0.06806221359428444,0.2860065466448445,0.11170212765957446,0.07474372500122517,1,2,0.04646311531012709,1.0,17217.683937072754,epoch_56_original,0,A1_drop_cam_front,6,R2_replace_tminus2,['CAM_FRONT'],replace,[2],,False,False,False
0.24118271594164958,0.09412027203169437,0.45481145412105073,0.06289545476169775,1.8056678830916921,0.43103448275862066,0.0,0.4360501567398119,0.45905707196029777,0.45455176723838625,54923,0.09274418910477693,0.0,0.5639498432601882,0.5689655172413793,0.0,0.4360501567398119,0.015861752044702693,0.01081667893219479,-0.0014386884148672174,0.0002914018249039285,0.000526021632639706,-0.023177828188184244,-0.0014386884148672174,0.4360501567398119,0.43103448275862066,0.45905707196029777,0.0,0.0,0.06289545476169775,0.000526021632639706,0.09274418910477693,0.015861752044702693,1,1,0.04467282003977082,1.0,15882.261268615723,epoch_56_original,0,A1_drop_cam_front,0,R3_ema_K2,['CAM_FRONT'],ema,"[1, 2]",,False,False,False
0.2615335087621074,0.10296465037281988,0.4137855305264479,0.06506875219937973,1.8276651816527578,0.4011627906976744,0.49012987012987014,0.2791142265413414,0.505938242280285,0.40856224526988966,58255,0.11344669636694485,0.0,0.7208857734586587,0.5988372093023255,0.49012987012987014,0.2791142265413414,0.0777256369227595,0.040960621077071546,0.0008764631013967461,0.11876092258646848,0.19401392984877974,0.005051138859258328,0.0008764631013967461,0.2791142265413414,0.4011627906976744,0.505938242280285,0.0,0.0,0.06506875219937973,0.19401392984877974,0.11344669636694485,0.0777256369227595,1,1,0.04467282003977082,1.0,15882.261268615723,epoch_56_original,0,A1_drop_cam_front,2,R3_ema_K2,['CAM_FRONT'],ema,"[1, 2]",,False,False,False
0.2282504811405978,0.08175776587032951,0.4695914083178679,0.07166822316765245,1.854209133225836,0.28651685393258425,0.44669160086807963,0.346596207646876,0.49937733499377335,0.4680211166213406,60946,0.12148224771060878,0.0,0.653403792353124,0.7134831460674158,0.44669160086807963,0.346596207646876,0.06849102096961499,0.02963937633682849,0.006934253068942284,0.1989691532892666,0.30770634944780806,0.01673309197115823,0.006934253068942284,0.346596207646876,0.28651685393258425,0.49937733499377335,0.4695914083178679,0.0,0.07166822316765245,0.30770634944780806,0.12148224771060878,0.06849102096961499,1,1,0.04467282003977082,1.0,15882.261268615723,epoch_56_original,0,A1_drop_cam_front,4,R3_ema_K2,['CAM_FRONT'],ema,"[1, 2]",,False,False,False
0.2155947844570599,0.06934090493677915,0.5138531681084872,0.0708800496546624,1.7410568155249007,0.39204545454545453,0.4164643127264042,0.37028962939894117,0.5824115044247787,0.5099546254282804,59572,0.11956394669160626,0.0,0.6297103706010588,0.6079545454545454,0.4164643127264042,0.37028962939894117,0.08196706990469116,0.026548894951500646,0.008856292011674136,0.26302845269897807,0.3625789104512509,0.03574351180734159,0.008856292011674136,0.37028962939894117,0.39204545454545453,0.5824115044247787,0.5138531681084872,0.0,0.0708800496546624,0.3625789104512509,0.11956394669160626,0.08196706990469116,1,1,0.04467282003977082,1.0,15882.261268615723,epoch_56_original,0,A1_drop_cam_front,6,R3_ema_K2,['CAM_FRONT'],ema,"[1, 2]",,False,False,False
